Term_Key,Language_0 (CN),Language_1 (EN),Language_2 (JP),Language_3 (RU),Korean
Card_Name/20029,腐生-疫乱,Decayborn - Plague Chaos,生腐り-疫乱れ（えきみだれ）,Рожденный гнилью — Чумной хаос,부생-역란
Card_Name/30,汲尸,Corpse Siphon,汲屍（きゅうし）,Трупный сифон,급시
Card_Name/10030,汲尸-食腐,Corpse Siphon - Carrion Eater,汲屍-腐食い（ふぐい）,Трупный сифон — Пожиратель падали,급시-식부
Card_Name/20030,汲尸-鲜吞,Corpse Siphon - Flesh Devourer,汲屍-鮮呑み（せんのみ）,Трупный сифон — Пожиратель плоти,급시-선탄
Card_Name/31,染疫,Spreading Plague,染疫（せんえき）,Распространяющаяся чума,염역
Card_Name/10031,染疫-爆浆,Spreading Plague - Suppurate,染疫-粘液爆裂,Распространяющаяся чума — Нагноение,염역-폭장
Card_Name/20031,染疫-腐蚀,Spreading Plague - Erosion,染疫-腐蝕,Распространяющаяся чума — Эрозия,염역-부식
Card_Name/32,醉龙火,Drinky Dragon's Fire,酔龍火（すいりゅうか）,Хмельной огонь дракона!,취룡화
Card_Name/10032,醉龙火-小盅,Drinky Dragon's Fire - Tiny Cup,酔龍火-お猪口,Хмельной огонь дракона — Малая чарка,취룡화-소충
Card_Name/20032,醉龙火-大盏,Drinky Dragon's Fire - Large Mug,酔龍火-ぐい呑み,Хмельной огонь дракона — Большая кружка,취룡화-대잔
Card_Name/33,烟酒行歌,Smoke & Liquor Ballad,煙酒行歌（えんしゅうぎょうか）,Баллада дыма и вина,연주행가
Card_Name/10033,烟酒行歌-交杯,Smoke & Liquor Ballad - Clinking Cups,煙酒行歌-盃交わし,Баллада дыма и вина — Звон чарок,연주행가-교배
Card_Name/20033,烟酒行歌-连饮,Smoke & Liquor Ballad - Drink Frenzy,煙酒行歌-連酌（れんしゃく）,Баллада дыма и вина — Хмельное безумие,연주행가-연음
Card_Name/34,浊气掌,Miasma Palm,濁気掌（だっきしょう）,Ладонь миазмов,탁기장
Card_Name/10034,浊气掌-聚爆,Miasma Palm - Implosion,濁気掌-衆爆（しゅうばく）,Ладонь миазмов — Имплозия,탁기장-취폭
Card_Name/20034,浊气掌-吹雷,Miasma Palm - Thunder Blast,濁気掌-雷吹き,Ладонь миазмов — Громовой взрыв,탁기장-취뢰
Card_Name/35,清风指,Finger of Breeze,清風指,Перст легкого ветра,청풍지
Card_Name/10035,流风指,Finger of Gust,流風指,Перст порыва,유풍지
Card_Name/20035,断风指,Finger of Severance,断風指,Перст отсечения,단풍지
Card_Name/36,重击,Heavy Strike,重撃,Тяжелый удар,강타
Card_Name/10036,重击-碎颅,Heavy Strike - Skull Crusher,重撃-顱砕き（ろくだき）,Тяжелый удар — Дробитель черепов,강타-쇄로
Card_Name/20036,重击-断脊,Heavy Strike - Spine Breaker,重撃-脊断ち（せきだち）,Тяжелый удар — Ломатель хребтов,강타-단척
Card_Name/37,不灭斗志,,,,불멸의 투지
Card_Name/38,虎符-千军令,,,,호부-천군령
Card_Name/39,绝灭斩,,,,절멸참
Card_Name/40,邪心,Wicked Heart,邪心,Злое сердце,사심
Card_Name/10040,邪心-燃,Wicked Heart - Burning,邪心-燃,Злое сердце — Горение,사심-연
Card_Name/20040,邪心-崩,Wicked Heart - Collapse,邪心-崩,Злое сердце — Обрушение,사심-붕
Card_Name/41,腥风斩,Foul Slash,腥風斬（しょうふうざん）,Скверный разрез,성풍참
Card_Name/10041,腥风连斩,Foul Slaughter,腥風連斬,Скверная бойня,성풍연참
Card_Name/20041,血风斩,Sanguinary Slash,血風斬（けっぷうざん）,Кровавый разрез!,혈풍참
Card_Name/42,忘忧,Sorrow Eraser,憂忘れ（ゆうわすれ）,Стиратель печали,망우
Card_Name/10042,忘忧-回忆,Sorrow Eraser - Recall,憂忘れ-記憶,Стиратель печали — Возвращение,망우-추억
Card_Name/20042,忘忧-遗失,Sorrow Eraser - Lost,憂忘れ-遺失,Стиратель печали — Утрата,망우-유실
Card_Name/43,无痕,,,,무흔
Card_Name/10043,无痕-逝水,,,,무흔-서수
Card_Name/20043,无痕-随风,,,,무흔-수풍
Card_Name/44,镇灵,,,,진령
Card_Name/10044,镇灵-铭记,,,,진령-명기
Card_Name/20044,镇灵-忘却,,,,진령-망각
Card_Name/45,昨日,Bygone Days,往日,Минувшие дни,작일
Card_Name/10045,昨日-编年,Bygone Days - Chronicle,往日-編年,Минувшие дни — Хроника,작일-편년
Card_Name/20045,昨日-断代,Bygone Days - Age Division,往日-断代,Минувшие дни — Разделение эпох,작일-단대
Card_Name/46,游方歌,Wanderer's Song,遊方歌,Песнь странника,유방가
Card_Name/10046,游方歌-灵汐,Wanderer's Song - Spirit Tide,遊方歌-霊汐（れいせき）,Песнь странника — Прилив духа,유방가-영석
Card_Name/20046,游方歌-风起,Wanderer's Song - Wind Rises,遊方歌-風起,Песнь странника — Поднимается ветер,유방가-풍기
Card_Name/47,血祭,Blood Sacrifice,血祭,Кровавая жертва,혈제
Card_Name/10047,血祭-丹,Blood Sacrifice - Elixir,血祭-丹,Кровавая жертва — Эликсир,혈제-단
Card_Name/20047,血祭-池,Blood Sacrifice - Pool,血祭-池,Кровавая жертва — Озеро,혈제-지
Card_Name/48,毒风,Toxic Wind,毒風,Ядовитый ветер,독풍
Card_Name/10048,毒风-朝,Toxic Wind - Dawn,毒風-朝,Ядовитый ветер — Рассвет,독풍-조
Card_Name/20048,毒风-夕,Toxic Wind - Dusk,毒風-夕,Ядовитый ветер — Сумерки,독풍-석
Card_Name/49,拢翅,Folded Wings,蔽翼（へいよく）,Сложенные крылья,농시
Card_Name/10049,拢翅-绒烬,Folded Wings - Velvet Embers,蔽翼-絨燼（じゅうじん）,Сложенные крылья — Бархатные угли,농시-융신
Card_Name/20049,拢翅-融风,Folded Wings - Melting Wind,蔽翼-融風（ゆうふう）,Сложенные крылья — Тающий ветер,농시-융풍
Card_Name/50,祖宗八倍拳,Eightfold Ancestral Fist,先祖継承拳,Восьмикратный кулак предков,조종팔배권
Card_Name/51,灵契,Spiritual Pact,霊契（れいけい）,Духовный пакт,영계
Card_Name/10051,灵契-如约,Spiritual Pact - Promise,霊契-応約（おうやく）,Духовный пакт — Обещание,영계-여약
Card_Name/20051,灵契-履证,Spiritual Pact - Fulfillment,霊契-履行（りつぎょう）,Духовный пакт — Исполнение,영계-이증
Card_Name/52,活人道-窃生,Way of the Living - Life's Theft,活人道-窃命,Путь живых — Похищение жизни,활인도-절생
Card_Name/53,死人道-亡返,Way of the Dead - The Fallen's Return,死人道-亡還,Путь мертвых — Возвращение павших,사인도-망반
Card_Name/54,生死撩断,Severance of Life and Death,生死断絶,Разрыв жизни и смерти,생사요단
Card_Name/55,绘涩,Eros,絵渋（えじゅう）,Эрос,춘화
Card_Name/10055,绘涩-饱暖思淫欲,Eros - Lust Comes with Abundance,絵渋-飽暖淫思（ほうだんいんし）,Эрос — Похоть приходит с изобилием.,춘화-포난사음욕
Card_Name/20055,绘涩-今日不早朝,Eros - Drowning in Indulgence,絵渋-不早朝,Эрос — Утопающий в неге,춘화-금일부조조
Card_Name/56,心欲流泉,Fountain of Desires,心欲流泉（しんよくりゅうせん）,Фонтан желаний,심욕류천
Card_Name/10056,心欲流泉-极乐,Fountain of Desires - Ultimate Bliss,心欲流泉-極楽,Фонтан желаний — Высшее блаженство,심욕류천-극락
Card_Name/20056,心欲流泉-寸止,Fountain of Desires - Halt Before Climax,心欲流泉-寸止,Фонтан желаний — Остановка у вершины,심욕류천-촌지
Card_Name/57,桃花烬,Peach Blossom Embers,桃花燼（とうかじん）,Угли персикового цвета,도화신
Card_Name/10057,桃花烬-春宵夜,Peach Blossom Embers - Spring Night,桃花燼-春宵幻夜（しゅんよいげんや）,Угли персикового цвета — Весенняя ночь,도화신-춘소야
Card_Name/20057,桃花烬-花开二度,Peach Blossom Embers - Second Bloom,桃花燼-二度咲き,Угли персикового цвета — Второе цветение,도화신-화개이도
Card_Name/58,嫁枝,Bridal Branch,婚枝（こんし）,Брачная ветвь,가지접목
Card_Name/10058,嫁枝-露水缘,Bridal Branch - Dewy Serendipity,婚枝-雫の縁,Брачная ветвь — Росистая удача,가지접목-노수연
Card_Name/20058,嫁枝-绕指风,Bridal Branch - Wrapping Wind,婚枝-指纏う風,Брачная ветвь — Обвивающий ветер,가지접목-요지풍
Card_Name/59,剑感,Sword Sense,剣感,Чувство меча,검감
Card_Name/10059,剑感-识风,Sword Sense - Guiding Wind,剣感-風知り,Чувство меча — Направляющий ветер,검감-식풍
Card_Name/20059,剑感-闻雨,Sword Sense - Revealing Rain,剣感-雨聞き,Чувство меча — Открывающий дождь,검감-문우
Card_Name/60,索心,Heart Seeker,索心（さくしん）,Искатель сердец,색심
Card_Name/10060,索心-刻雷,Heart Seeker - Endgraved Lightning,索心-刻雷（こくらい）,Искатель сердец — Выгравированная молния,색심-각뢰
Card_Name/20060,索心-回雪,Heart Seeker - Circling Snow,索心-回雪（かいせつ）,Искатель сердец — Кружащий снег,색심-회설
Card_Name/61,水鳞,,,,수린
Card_Name/10061,水鳞-怠惰,,,,수린-태타
Card_Name/20061,水鳞-惊醒,,,,수린-경성
Card_Name/62,甩尾,,,,꼬리치기
Card_Name/10062,甩尾-跃龙门,,,,꼬리치기-약용문
Card_Name/20062,甩尾-沉渊,,,,꼬리치기-침연
Card_Name/63,摆烂,,,,농땡이
Card_Name/64,盘龙根,Coiling Dragon Root,盤龍根（ばんりゅうこん）,Корень свернувшегося дракона,반룡근
Card_Name/10064,盘龙根-魔种,Coiling Dragon Root - Demonic Seed,盤龍根-魔種（ましゅ）,Корень свернувшегося дракона — Демоническое семя,반룡근-마종
Card_Name/20064,盘龙根-残息,Coiling Dragon Root - Lingering Breath,盤龍根-残息（ざんそく）,Корень свернувшегося дракона — Затихающее дыхание,반룡근-잔식
Card_Name/65,木龙噬,,,,목룡서
Card_Name/10065,木龙-假龙乱真,,,,목룡-가룡난진
Card_Name/20065,木龙噬-狂雷,,,,목룡서-광뢰
Card_Name/66,破雷指,Lightning Breaker Finger,破雷指,Перст-громобой,파뢰지
Card_Name/10066,破雷指-断,Lightning Breaker Finger - Severance,破雷指-断,Перст-громобой — Отсечение,파뢰지-단
Card_Name/20066,破雷指-撩,Lightning Breaker Finger - Sweep,破雷指-撩,Перст-громобой — Размах,파뢰지-요
Card_Name/67,窒息,Suffocation,窒息,Удушье,질식
Card_Name/10067,窒息-昏迷,Suffocation - Coma,窒息-気絶,Удушье — Кома,질식-혼미
Card_Name/20067,窒息-放弃,Suffocation - Surrender,窒息-放棄,Удушье — Капитуляция,질식-포기
Card_Name/68,退潮,Ebb Tide,退潮,Отлив,퇴조
Card_Name/69,寄生,Parasite,寄生,Паразит,기생
Card_Name/10069,寄生-榨干,Parasite - Drain,寄生-搾取（さくしゅ）,Паразит — Истощение,기생-착취
Card_Name/20069,寄生-硬嘬,Parasite - Suck,寄生-吸啜（きゅうてつ）,Паразит — Высасывание,기생-경최
Card_Name/70,瘴域,,,,장역
Card_Name/10070,瘴域-尸潭,,,,장역-시담
Card_Name/20070,瘴域-孽雷,,,,장역-얼뢰
Card_Name/71,龙爪,Dragon Claw,龍爪（りゅうさ）,Драконий коготь,용조
Card_Name/10071,龙爪-残裂,Dragon Claw - Shatterer,龍爪-残裂（ざんれつ）,Драконий коготь — Сокрушитель,용조-잔열
Card_Name/20071,龙爪-炽火,Dragon Claw - Blaze,龍爪-熾炎（しえん）,Драконий коготь — Пламя,용조-치화
Card_Name/72,衔鹊,Magpie's Gift,銜鵲（げんじゃく）,Дар сороки,함작
Card_Name/73,妖弓-连,Demonic Bow - Volley,影弓（かげゆみ）-連,Демонический лук — Залп,요궁-연
Card_Name/10073,妖弓-散,Demonic Bow - Scatter,影弓-散,Демонический лук — Рассеивание,요궁-산
Card_Name/20073,妖弓-蚀,Demonic Bow - Erosion,影弓-蝕,Демонический лук — Эрозия,요궁-식
Card_Name/74,复化用,Reuse,復利用,Повторное использование,복화용
Card_Name/10074,复化用-叠诵,Reuse - Reprise,復利用-詠唱,Повторное использование — Реприза,복화용-첩송
Card_Name/20074,复化用-齐发,Reuse - Volley,復利用-斉発,Повторное использование — Залп,복화용-제발
Card_Name/75,巨擎袭,Colossal Assault,巨擎撃（きょちんげき）,Колоссальный натиск!,거경습
Card_Name/10075,巨擎袭-攥,Colossal Assault - Clench,巨擎撃-握,Колоссальный натиск — Сжатие,거경습-찬
Card_Name/20075,巨擎袭-贯,Colossal Assault - Pierce,巨擎撃-貫,Колоссальный натиск — Пронзание,거경습-관
Card_Name/76,清白之息,Breath of Purity,潔白の息,Дыхание чистоты,청백의 숨결
Card_Name/10076,清白之息-云卷,Breath of Purity - Swirling Clouds,潔白の息-雲巻き,Дыхание чистоты — Кружащие облака,청백의 숨결-운권
Card_Name/20076,清白之息-流风,Breath of Purity - Gust,潔白の息-風流し,Дыхание чистоты — Порыв,청백의 숨결-유풍
Card_Name/77,碎鼎,Cauldron Shatterer,砕鼎（さいてい）,Сокрушитель котла,쇄정
Card_Name/10077,碎鼎-全身,Cauldron Shatterer - Full Body,砕鼎-全身,Сокрушитель котла — Цельное тело,쇄정-전신
Card_Name/20077,碎鼎-全灵,Cauldron Shatterer - Full Soul,砕鼎-全霊,Сокрушитель котла — Цельная душа,쇄정-전령
Card_Name/78,一笔勾销,Stroke of Erasure,一切破算,Росчерк стирания,일필구소
Card_Name/10078,一笔勾销-生,Stroke of Erasure - Life,一切破算-生,Росчерк стирания — Жизнь,일필구소-생
Card_Name/20078,一笔勾销-死,Stroke of Erasure - Death,一切破算-死,Росчерк стирания — Смерть,일필구소-사
Card_Name/79,判魂,Judgment of Souls,魂裁き,Суд душ,판혼
Card_Name/10079,判魂-冤责,Judgment of Souls - Grievance,魂裁き-冤責（えんせき）,Суд душ — Обида,판혼-원책
Card_Name/20079,判魂-严律,Judgment of Souls - Stringent Laws,魂裁き-厳律（げんりつ）,Суд душ — Суровые законы,판혼-엄률
Card_Name/80,烙印,Stigma,烙印,Стигма,낙인
Card_Name/10080,烙印-罪责,Stigma - Guilt,烙印-罪責（ざいせき）,Стигма — Вина,낙인-죄책
Card_Name/20080,烙印-忏悔,Stigma - Repentance,烙印-懺悔（ざんげ）,Стигма — Раскаяние,낙인-참회
Card_Name/81,鬼神躯,Wraithgod Form,鬼神躯（きしんく）,Облик бога-призрака,귀신구
Card_Name/10081,鬼神躯-魂离,Wraithgod Form - Soul Detachment,鬼神躯-魂離（こんり）,Облик бога-призрака — Отделение души,귀신구-혼리
Card_Name/20081,鬼神躯-烙印,Wraithgod Form - Stigma,鬼神躯-烙印（らくいん）,Облик бога-призрака — Стигма,귀신구-낙인
Card_Name/82,阴鳞剑,Umbralscale Blade,陰鱗剣（いんりんけん）,Клинок темной чешуи,음린검
Card_Name/10082,阴鳞剑-破灭,Umbralscale Blade - Annihilation,陰鱗剣-破滅（はめつ）,Клинок темной чешуи — Аннигиляция,음린검-파멸
Card_Name/20082,阴鳞剑-诛伐,Umbralscale Blade - Retribution,陰鱗剣-誅伐（ちゅうばつ）,Клинок темной чешуи — Возмездие,음린검-주벌
Card_Name/83,狐媚,Fox Allure,狐媚（こび）,Чары лисицы,호매
Card_Name/10083,狐媚-靡乱之春,Fox Allure - Spring of Debauchery,狐媚-淫乱の春（いんらんのはる）,Чары лисицы — Источник распутства,호매-미란지춘
Card_Name/20083,狐媚-春宫妖术,Fox Allure - Erotic Sorcery,狐媚-春宮妖術（しゅうんきゅうようじゅつ）,Чары лисицы — Эротическое колдовство,호매-춘궁요술
Card_Name/84,灵狐妖风,Vixen Gale,霊狐妖風（れいこようふう）,Лисий шквал,영호요풍
Card_Name/10084,灵狐妖风-烧,Vixen Gale - Scorch,霊狐妖風-焼（しょう）,Лисий шквал — Опаление,영호요풍-소
Card_Name/20084,灵狐妖风-盈,Vixen Gale - Surge,霊狐妖風-盈（えい）,Лисий шквал — Всплеск,영호요풍-영
Card_Name/85,沉渊之汐,Abyssal Tide,沈淵の汐（しんえんのしお）,Бездонный прилив,침연지석
Card_Name/10085,沉渊之汐-喷涌,Abyssal Tide - Gush,沈淵の汐-噴涌（ふんよう）,Бездонный прилив — Поток,침연지석-분용
Card_Name/20085,沉渊之汐-射流,Abyssal Tide - Torrent,沈淵の汐-射流（しゃりゅう）,Бездонный прилив — Стремнина,침연지석-사류
Card_Name/86,翻云覆雨-妖,Ripples of Pleasure - Fiend,翻雲覆雨-妖（ほんうんふくう-よう）,Рябь наслаждения — Изверг,번운복우-요
Card_Name/87,索心叉,Heart-Seeking Fork,索心叉（さくしんそう）,Сердцеискательная вилка,색심차
Card_Name/10087,索心叉-贯通,Heart-Seeking Fork - Penetrate,索心叉-貫通（かんつう）,Сердцеискательная вилка — Пронзание,색심차-관통
Card_Name/20087,索心叉-阴损,Heart-Seeking Fork - Insidious,索心叉-陰損（いんそん）,Сердцеискательная вилка — Коварство,색심차-음손
Card_Name/88,翻云覆雨-魔,Ripples of Pleasure - Demon,翻雲覆雨-魔（ま）,Рябь наслаждения — Демон,번운복우-마
Card_Name/89,翻天印,Celestial Overturn Seal,翻天印（はんてんいん）,Печать небесного переворота,번천인
Card_Name/10089,翻天印-天倾,Celestial Overturn Seal - Heaven Collapse,翻天印-天傾（てんけい）,Печать небесного переворота — Обрушение небес,번천인-천경
Card_Name/20089,翻天印-地覆,Celestial Overturn Seal - Earth Upheaval,翻天印-地覆（ちふ）,Печать небесного переворота — Потрясение земли,번천인-지복
Card_Name/90,玉剑,Jade Sword,玉剣（ぎょくけん）,Нефритовый меч,옥검
Card_Name/10090,玉剑-吞,Jade Sword - Devour,玉剣-呑（とん）,Нефритовый меч — Пожирание,옥검-탄
Card_Name/20090,玉剑-纳,Jade Sword - Absorb,玉剣-納（のう）,Нефритовый меч — Поглощение,옥검-납
Card_Name/91,本源之种,Seed of Origin,本源の種（ほんげんのたね）,Семя истока,본원지종
Card_Name/10091,本源之种-晦,Seed of Origin - Dusk,本源の種-晦（かい）,Семя истока — Сумерки,본원지종-회
Card_Name/20091,本源之种-明,Seed of Origin - Dawn,本源の種-明（めい）,Семя истока — Рассвет,본원지종-명
Card_Name/92,预知,Presage,予知（よち）,Предзнаменование,예지
Card_Name/10092,预知-阴阳重聚,Presage - Reunion of Yin & Yang,予知-陰陽重聚（おんみょうじゅうしゅう）,Предзнаменование — Воссоединение инь и ян,예지-음양중취
Card_Name/20092,预知-晴雨未知,Presage - Fortune Unseen,予知-晴雨未知（せいうみち）,Предзнаменование — Незримая судьба,예지-청우미지
Card_Name/93,小青龙头槌,Little Azure Dragon Headbutt,小青龍頭突き（こせいりゅうずつき）,Удар головой малого лазурного дракона,소청룡두추
Card_Name/10093,小青龙头槌-顶,Little Azure Dragon Headbutt - Ram,小青龍頭突き-頂（ちょう）,Удар головой малого лазурного дракона — Таран,소청룡두추-정
Card_Name/20093,小青龙头槌-磕,Little Azure Dragon Headbutt - Dunk,小青龍頭突き-磕（かく）,Удар головой малого лазурного дракона — Бросок,소청룡두추-개
Card_Name/94,小青龙胀气,Little Azure Dragon Bloat,小青龍膨満（こせいりゅうほうまん）,Вздутие малого лазурного дракона,소청룡창기
Card_Name/10094,小青龙胀气-涌,Little Azure Dragon Bloat - Surge,小青龍膨満-湧（よう）,Вздутие малого лазурного дракона — Всплеск,소청룡창기-용
Card_Name/20094,小青龙胀气-泻,Little Azure Dragon Bloat - Vent,小青龍膨満-瀉（しゃ）,Вздутие малого лазурного дракона — Выброс,소청룡창기-사
Card_Name/95,痛殴,Thrash,痛打（つうだ）,Молотьба,통구
Card_Name/10095,痛殴-踢脸,Thrash - Face Kick,痛打-顔面蹴り（がんめんけり）,Молотьба — Удар по лицу,통구-척검
Card_Name/20095,痛殴-乱斗,Thrash - Brawl,痛打-（乱闘らんとう）,Молотьба — Потасовка,통구-난투
Card_Name/96,决睚之眼,Gaze of Vengeance,決睚の眼（ぜつがいのめ）,Взор возмездия,결애지안
Card_Name/10096,决睚之眼-愤,Gaze of Vengeance - Fury,決睚の眼-憤（ふん）,Взор возмездия — Ярость,결애지안-분
Card_Name/20096,决睚之眼-恶,Gaze of Vengeance - Malice,決睚の眼-悪（あく）,Взор возмездия — Злоба,결애지안-악
