Where,Chinese,Korean
DifficultDic/ExBadRoge,"所有敌人被动效果翻倍
【时光如隙】使用4张卡牌后，结束尸姬大人的回合","모든 적의 패시브 효과가 2배가 됩니다.
【시광여극】카드를 4장 사용하면 시희님의 턴이 종료됩니다."
DifficultDic/ExBadRoge,"所有敌人被动效果翻倍
【雷寂】单回合内，全场除真实伤害外，所有伤害变为0
原本偶数回合获得雷寂效果，开启恶趣味后，奇数回合获得雷寂效果","모든 적의 패시브 효과가 2배가 됩니다.
【뇌적】한 턴 동안, 필드 전체에서 고정 피해를 제외한 모든 피해가 0이 됩니다.
원래는 짝수 턴에 뇌적 효과를 얻지만, 악취미를 켜면 홀수 턴에 뇌적 효과를 얻습니다."
DifficultDic/ExBadRoge,"所有敌人被动效果翻倍
【清白之剑】造成两次伤害
【驭灵斩】同时获得等量层数的阴气","모든 적의 패시브 효과가 2배가 됩니다.
【청백의 검】피해를 두 번 입힙니다.
【어령참】같은 수의 음기도 함께 획득합니다."
DifficultDic/ExBadRoge,"所有敌人被动效果翻倍
【浊脉】所有己方单位行动后，自身追加一次行动","모든 적의 패시브 효과가 2배가 됩니다.
【탁맥】자기 진영 모든 유닛이 행동한 뒤, 자신이 한 번 더 행동합니다."
DifficultDic/ExBadRoge,"所有敌人被动效果翻倍
【活死人之躯】所有boss受到的普通伤害和卡牌伤害均降低150点","모든 적의 패시브 효과가 2배가 됩니다.
【활사인의 육체】모든 보스가 받는 일반 피해와 카드 피해가 150 감소합니다."
DifficultDic/ExBadRoge,"所有敌人被动效果翻倍
【雷劫】命中己方时不再眩晕，同时获得等额护盾
【我是小青龙】回合开始时额外向手牌中塞入一张《我是小青龙》
【垃圾，好吃】效果作用于所有己方单位","모든 적의 패시브 효과가 2배가 됩니다.
【뇌겁】아군에게 명중해도 기절시키지 않으며, 같은 양의 보호막을 획득합니다.
【나는 소청룡】턴 시작 시 손패에 《나는 소청룡》을 1장 추가로 넣습니다.
【쓰레기, 맛있다】효과가 자기 진영 모든 유닛에 적용됩니다."
DifficultDic/ExBadRoge,"所有敌人被动效果翻倍
【一笔勾销】每回合均会触发
【生死有录】移除生命值提高至45%","모든 적의 패시브 효과가 2배가 됩니다.
【일필구소】매 턴 발동합니다.
【생사유록】제거하는 생명력이 45%로 증가합니다."
DifficultDic/ExBadRoge,"所有敌人被动效果翻倍
【血饲】回合开始时，攻击力+15，该效果由所有敌方单位均摊","모든 적의 패시브 효과가 2배가 됩니다.
【혈사】턴 시작 시 공격력 +15. 이 효과는 모든 적 유닛이 나눠 가집니다."
DifficultDic/ExBadRoge,"所有敌人被动效果翻倍
【妖躯】奇数回合时，获得50%最大生命值的护盾
【浊脉】所有己方单位行动后，自身追加一次行动","모든 적의 패시브 효과가 2배가 됩니다.
【요구】홀수 턴에 최대 생명력의 50%에 해당하는 보호막을 획득합니다.
【탁맥】자기 진영 모든 유닛이 행동한 뒤, 자신이 한 번 더 행동합니다."
DifficultDic/ExBadRoge,"所有敌人被动效果翻倍
【翻天印】效果提升至造成75%最大生命值的伤害
【天数有尽】损失15%生命值就会生效
【血饲】回合开始时，攻击力+15，该效果由所有敌方单位均摊","모든 적의 패시브 효과가 2배가 됩니다.
【번천인】효과가 최대 생명력의 75%에 해당하는 피해로 상승합니다.
【천수유진】생명력을 15% 잃으면 발동합니다.
【혈사】턴 시작 시 공격력 +15. 이 효과는 모든 적 유닛이 나눠 가집니다."
DifficultDic/ExBadRoge,"所有敌人被动效果翻倍
【一笔勾销】每回合均会触发
【生死有录】移除生命值提高至45%
【我是小青龙】回合开始时额外向手牌中塞入一张《我是小青龙》
【垃圾，好吃】效果作用于所有己方单位","모든 적의 패시브 효과가 2배가 됩니다.
【일필구소】매 턴 발동합니다.
【생사유록】제거하는 생명력이 45%로 증가합니다.
【나는 소청룡】턴 시작 시 손패에 《나는 소청룡》을 1장 추가로 넣습니다.
【쓰레기, 맛있다】효과가 자기 진영 모든 유닛에 적용됩니다."
DifficultDic/ExBadRoge,"所有敌人被动效果翻倍
【雷劫】命中己方时不再眩晕，同时获得等额护盾","모든 적의 패시브 효과가 2배가 됩니다.
【뇌겁】아군에게 명중해도 기절시키지 않으며, 같은 양의 보호막을 획득합니다."
DifficultDic/ExBadRoge,"所有敌人被动效果翻倍
【雷寂】单回合内，全场除真实伤害外，所有伤害变为0
原本偶数回合获得雷寂效果，开启恶趣味后，第一回合额外获得一次雷寂效果
【时光如隙】使用4张卡牌后，结束尸姬大人的回合","모든 적의 패시브 효과가 2배가 됩니다.
【뇌적】한 턴 동안, 필드 전체에서 고정 피해를 제외한 모든 피해가 0이 됩니다.
원래는 짝수 턴에 뇌적 효과를 얻지만, 악취미를 켜면 첫 턴에 뇌적 효과를 한 번 더 얻습니다.
【시광여극】카드를 4장 사용하면 시희님의 턴이 종료됩니다."
DifficultDic/ExBadRoge,"所有敌人被动效果翻倍
【文法-大道之行】偶数回合己方单位受到伤害为0
所有龙霄军会连开两枪，第二枪造成最大生命值15%的真实伤害
龙霄军每次换弹提高10点伤害","모든 적의 패시브 효과가 2배가 됩니다.
【문법-대도지행】짝수 턴에 아군 유닛이 받는 피해가 0이 됩니다.
모든 용소군이 두 발을 연달아 쏘며, 두 번째 탄은 최대 생명력의 15%에 해당하는 고정 피해를 입힙니다.
용소군은 탄환을 교체할 때마다 피해가 10 증가합니다."
DifficultDic/ExBadRoge,"所有敌人被动效果翻倍
【妖躯】奇数回合时，获得50%最大生命值的护盾","모든 적의 패시브 효과가 2배가 됩니다.
【요구】홀수 턴에 최대 생명력의 50%에 해당하는 보호막을 획득합니다."
DifficultDic/ExBadRoge,"所有敌人被动效果翻倍
【翻天印】效果提升至造成75%最大生命值的伤害
【天数有尽】损失15%生命值就会生效","모든 적의 패시브 효과가 2배가 됩니다.
【번천인】효과가 최대 생명력의 75%에 해당하는 피해로 상승합니다.
【천수유진】생명력을 15% 잃으면 발동합니다."
DifficultDic/ExBadRoge,"所有敌人被动效果翻倍
【浊脉】所有己方单位行动后，自身追加一次行动
【时光如隙】使用4张卡牌后，结束尸姬大人的回合","모든 적의 패시브 효과가 2배가 됩니다.
【탁맥】자기 진영 모든 유닛이 행동한 뒤, 자신이 한 번 더 행동합니다.
【시광여극】카드를 4장 사용하면 시희님의 턴이 종료됩니다."
